company name,company category
GOLDSPOT MEDIA INDIA PRIVATE LIMITED,CATGCX
AARTI DRUGS LIMITED,CATGB
ABB INSTRUMENTATION LIMITED,CATGB
ABB LIMITED,CATGA
ABC INDIA LIMITED,CATGB
ACER INDIA PRIVATE LIMITED,SCATA
ADANI GAS LIMITED,CATGB
ADNANI EXPORTS LIMITED,CATGB
ADANI INFRA (INDIA) LIMITED,CATGC
ADOBE SYSTEMS INDIA PRIVATE LIMITED,CATGB
AFL PRIVATE LIMITED,CATGB
AGILENT TECHNOLOGIES INDIA PVT LTD,CATGB
AHLUWALIA CONTRACTS (INDIA) LIMITED,CATGB
AHMEDABAD ELECTRICITY COMPANY LIMITED,CATGB
FRANCE AIR PRIVATE LIMITED,SCATA
AJANTA PHARMA LIMITED,CATGB
ABS INDIA PRIVATE LIMITED,CATGB
ALEMBIC CHEMICAL COMPANY LIMITED,CATGB
ALEMBIC PHARMACEUTICALS LIMITED,CATGA
ALLIANCE CAPITAL TRUSTT PRIVATE LIMITED,CATGC
